country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Monaco,MCO,1/5/2021,,,,,126,,,,3211,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
Northern Ireland,,1/5/2021,,,,,3157,,,,1667,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,1/5/2021,5613,5613,,3437,563,0.1,0.1,,104,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,1/5/2021,12751,12751,,2023,1341,0.25,0.25,,263,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
Poland,POL,1/5/2021,140226,140226,,48006,19132,0.37,0.37,,506,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,1/5/2021,,,,,3141,,,,308,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
Romania,ROU,1/5/2021,41609,41609,,16101,5547,0.22,0.22,,288,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
Russia,RUS,1/5/2021,,,,,46649,,,,320,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
Slovakia,SVK,1/5/2021,425,425,,425,425,0.01,0.01,,78,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
Slovenia,SVN,1/5/2021,15070,15070,,2418,943,0.72,0.72,,454,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
Spain,ESP,1/5/2021,139339,139339,,56505,56505,0.3,0.3,,1209,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
Sweden,SWE,1/5/2021,,,,,2522,,,,250,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,1/5/2021,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
United Arab Emirates,ARE,1/5/2021,826301,,,,,8.35,,,,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
UK,GBR,1/5/2021,,,,,92608,,,,1364,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
USA,USA,1/5/2021,4836469,4836469,,273209,339372,1.45,1.45,,1015,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Argentina,ARG,1/6/2021,,,,,8173,,,,181,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Bahrain,BHR,1/6/2021,68472,68472,,4579,1594,4.02,4.02,,937,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
Belgium,BEL,1/6/2021,6218,6218,,3864,777,0.05,0.05,,67,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Bulgaria,BGR,1/6/2021,7913,7913,,2465,472,0.11,0.11,,68,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,1/6/2021,,,,,13513,,,,358,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
Cayman Islands,CYM,1/6/2021,,,,,275,,,,4184,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
Chile,CHL,1/6/2021,10699,10699,,205,272,0.06,0.06,,14,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
China,CHN,1/6/2021,,,,,455357,,,,316,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
Costa Rica,CRI,1/6/2021,,,,,763,,,,150,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
Croatia,HRV,1/6/2021,,,,,1334,,,,325,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
Cyprus,CYP,1/6/2021,3901,,,,,0.45,,,,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
Czech Republic,CZE,1/6/2021,28061,28061,,5802,2517,0.26,0.26,,235,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,1/6/2021,89658,89658,,20144,8606,1.55,1.55,,1486,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
Estonia,EST,1/6/2021,5009,,,1821,589,0.38,,,444,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
Finland,FIN,1/6/2021,,,,,839,,,,151,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
France,FRA,1/6/2021,17064,17064,,10320,2404,0.03,0.03,,35,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,1/6/2021,442822,442822,,58411,42559,0.53,0.53,,508,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Greece,GRC,1/6/2021,20616,20616,,3985,2699,0.2,0.2,,259,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hungary,HUN,1/6/2021,31500,,,10500,3959,0.33,,,410,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
Iceland,ISL,1/6/2021,,,,,63,,,,185,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
Ireland,IRL,1/6/2021,,,,,1624,,,,329,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Israel,ISR,1/6/2021,1630792,1630790,2,100779,115526,18.84,18.84,0,13347,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,1/6/2021,333436,333436,,64728,45710,0.55,0.55,,756,"Moderna, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Kuwait,KWT,1/6/2021,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
Latvia,LVA,1/6/2021,4625,,,776,338,0.25,,,179,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lithuania,LTU,1/6/2021,13866,13866,,3497,592,0.51,0.51,,217,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,1/6/2021,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
Malta,MLT,1/6/2021,,,,,304,,,,689,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Mexico,MEX,1/6/2021,53185,53185,,4949,4027,0.04,0.04,,31,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
Monaco,MCO,1/6/2021,,,,,126,,,,3211,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
Netherlands,NLD,1/6/2021,6000,,,,,0.04,,,,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
Northern Ireland,,1/6/2021,,,,,3954,,,,2088,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,1/6/2021,14624,14624,,9011,1790,0.27,0.27,,330,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,1/6/2021,14005,14005,,1254,1280,0.27,0.27,,251,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
Poland,POL,1/6/2021,160359,160359,,20133,17723,0.42,0.42,,468,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,1/6/2021,42035,42035,,,2169,0.41,0.41,,213,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
Romania,ROU,1/6/2021,58554,58554,,16945,7555,0.3,0.3,,393,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
Russia,RUS,1/6/2021,,,,,39532,,,,271,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
Saudi Arabia,SAU,1/6/2021,100000,,,,,0.29,,,,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
Slovakia,SVK,1/6/2021,6618,6618,,6193,3309,0.12,0.12,,606,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
Slovenia,SVN,1/6/2021,20171,20171,,5101,1611,0.97,0.97,,775,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
Spain,ESP,1/6/2021,,,,,45248,,,,968,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
Sweden,SWE,1/6/2021,,,,,2927,,,,290,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,1/6/2021,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
United Arab Emirates,ARE,1/6/2021,,,,,30698,,,,3104,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
UK,GBR,1/6/2021,,,,,110678,,,,1630,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
USA,USA,1/6/2021,5306797,5306797,,470328,358887,1.59,1.59,,1073,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Argentina,ARG,1/7/2021,,,,,8363,,,,185,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Bahrain,BHR,1/7/2021,72239,72239,,3767,1942,4.25,4.25,,1141,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
Belgium,BEL,1/7/2021,14322,14322,,8104,1934,0.12,0.12,,167,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Bulgaria,BGR,1/7/2021,11117,11117,,3204,920,0.16,0.16,,132,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,1/7/2021,,,,,15327,,,,406,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
Cayman Islands,CYM,1/7/2021,,,,,275,,,,4184,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
Chile,CHL,1/7/2021,,,,,344,,,,18,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
China,CHN,1/7/2021,,,,,500000,,,,347,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
Costa Rica,CRI,1/7/2021,,,,,937,,,,184,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
Croatia,HRV,1/7/2021,20603,20603,,,1662,0.5,0.5,,405,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
Cyprus,CYP,1/7/2021,,,,,534,,,,610,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
Czech Republic,CZE,1/7/2021,35979,35979,,7918,3462,0.34,0.34,,323,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,1/7/2021,107467,107467,,17809,10244,1.86,1.86,,1769,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
Estonia,EST,1/7/2021,6632,,,1623,675,0.5,,,509,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
Finland,FIN,1/7/2021,8155,,,,913,0.15,,,165,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
France,FRA,1/7/2021,43282,43282,,26218,6138,0.06,0.06,,90,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,1/7/2021,501307,501307,,58485,45477,0.6,0.6,,543,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Greece,GRC,1/7/2021,26445,26445,,5829,3444,0.25,0.25,,330,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hungary,HUN,1/7/2021,42549,,,11049,5348,0.44,,,554,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
Iceland,ISL,1/7/2021,,,,,63,,,,185,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
Ireland,IRL,1/7/2021,15314,,,,1931,0.31,,,391,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Israel,ISR,1/7/2021,1744541,1744535,6,113749,109408,20.16,20.16,0,12640,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,1/7/2021,424564,424564,,91128,55134,0.7,0.7,,912,"Moderna, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Kuwait,KWT,1/7/2021,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
Latvia,LVA,1/7/2021,5434,,,809,433,0.29,,,230,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lithuania,LTU,1/7/2021,18020,18020,,4154,1182,0.66,0.66,,434,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,1/7/2021,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
Malta,MLT,1/7/2021,,,,,327,,,,741,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Mexico,MEX,1/7/2021,58402,58402,,5217,4230,0.05,0.05,,33,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
Monaco,MCO,1/7/2021,,,,,126,,,,3211,Pfizer/BioNTech,National Council,https://www.monaco-tribune.com/en/2021/01/covid-19-monaco-conducts-three-times-more-tests-than-france/
Netherlands,NLD,1/7/2021,15000,,,9000,9000,0.09,,,525,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
Northern Ireland,,1/7/2021,,,,,4751,,,,2509,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,1/7/2021,21177,21177,,6553,2715,0.39,0.39,,501,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,1/7/2021,14911,14911,,906,1199,0.29,0.29,,235,Pfizer/BioNTech,Ministry of Health,https://twitter.com/OmaniMOH/status/1354699593666195458
Poland,POL,1/7/2021,188956,188956,,28597,20194,0.5,0.5,,534,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,1/7/2021,,,,,3983,,,,391,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
Romania,ROU,1/7/2021,76400,76400,,17846,9444,0.4,0.4,,491,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
Russia,RUS,1/7/2021,,,,,32416,,,,222,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
Saudi Arabia,SAU,1/7/2021,137862,,,37862,37862,0.4,,,1088,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
Slovakia,SVK,1/7/2021,13631,13631,,7013,4544,0.25,0.25,,832,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
Slovenia,SVN,1/7/2021,25410,25410,,5239,2124,1.22,1.22,,1022,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
Spain,ESP,1/7/2021,207323,207323,,,41496,0.44,0.44,,888,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
Sweden,SWE,1/7/2021,,,,,3333,,,,330,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,1/7/2021,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
United Arab Emirates,ARE,1/7/2021,887697,,,,30698,8.98,,,3104,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
UK,GBR,1/7/2021,,,,,128749,,,,1897,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
USA,USA,1/7/2021,5919418,5919418,,612621,378253,1.77,1.77,,1131,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Argentina,ARG,1/8/2021,107542,,,,10519,0.24,,,233,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Bahrain,BHR,1/8/2021,78291,78291,,6052,2706,4.6,4.6,,1590,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
Belgium,BEL,1/8/2021,23464,23464,,9142,3239,0.2,0.2,,279,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Bulgaria,BGR,1/8/2021,13355,13355,,2238,1231,0.19,0.19,,177,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,1/8/2021,,,,,17141,,,,454,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
Cayman Islands,CYM,1/8/2021,,,,,275,,,,4184,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
Chile,CHL,1/8/2021,,,,,417,,,,22,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
China,CHN,1/8/2021,,,,,500000,,,,347,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
Costa Rica,CRI,1/8/2021,9751,,,,1111,0.19,,,218,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
Croatia,HRV,1/8/2021,24985,24985,,4382,2130,0.61,0.61,,519,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
Cyprus,CYP,1/8/2021,,,,,534,,,,610,Pfizer/BioNTech,Ministry of Health,https://cyprus-mail.com/2021/01/30/coronavirus-more-vaccination-slots-to-open-on-monday/
Czech Republic,CZE,1/8/2021,45897,45897,,9918,4841,0.43,0.43,,452,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,1/8/2021,116038,116038,,8571,11128,2,2,,1921,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
Estonia,EST,1/8/2021,7973,,,1341,784,0.6,,,591,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-5-veebruar-oopaevaga-lisandus-596-positiivset-testi
Finland,FIN,1/8/2021,11135,,,2980,1273,0.2,,,230,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
France,FRA,1/8/2021,76022,76022,,32740,10814,0.11,0.11,,159,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,1/8/2021,561257,561257,,59950,50543,0.67,0.67,,603,"Moderna, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Greece,GRC,1/8/2021,35272,35272,,8827,4667,0.34,0.34,,448,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hungary,HUN,1/8/2021,,,,,6375,,,,660,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1576-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-98-beteg
Iceland,ISL,1/8/2021,,,,,63,,,,185,"Moderna, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
Ireland,IRL,1/8/2021,,,,,3028,,,,613,Pfizer/BioNTech,Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Israel,ISR,1/8/2021,1809884,1809873,11,65343,108660,20.91,20.91,0,12554,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,1/8/2021,519192,519192,,94628,67093,0.86,0.86,,1110,"Moderna, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Kuwait,KWT,1/8/2021,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518
Latvia,LVA,1/8/2021,6339,,,905,543,0.34,,,288,Pfizer/BioNTech,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lithuania,LTU,1/8/2021,23190,23190,,5170,1903,0.85,0.85,,699,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,1/8/2021,,,,,62,,,,99,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
Malta,MLT,1/8/2021,,,,,350,,,,793,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Mexico,MEX,1/8/2021,67468,67468,,9066,4984,0.05,0.05,,39,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
